Informe de estadísticas de subastas
1 de julio de 2026 - 15 de julio de 2026
Dominio de URL visible,Porcentaje de impresiones,Porcentaje de superposición,Porcentaje de posición superior,Porcentaje de parte superior de la página,Porcentaje absol. en parte superior de la página,Porcentaje de ranking superior
hoff.design,75.00%,73.24%,7.69%,76.92%,6.41%,64.42%
tepintamossoluciones.com,< 10%,5.63%,0.00%,33.33%,0.00%,68.27%
cabinasyboxs.com,< 10%,5.63%,25.00%,100.00%,33.33%,67.31%
corasa.ar,< 10%,8.45%,0.00%,37.50%,0.00%,68.27%
xingdifeng.com,14.42%,15.49%,0.00%,73.33%,0.00%,68.27%
Usted,68.27%, --, --,84.51%,61.97%, --
mercadolibre.com.ar,< 10%,9.86%,42.86%,60.00%,0.00%,65.38%
tabiquesymodulos.com.ar,51.92%,53.52%,5.26%,51.85%,0.00%,66.35%
mavatec.com.ar,77.88%,81.69%,31.03%,87.65%,24.69%,50.96%
grunhaut.com,< 10%,4.23%,0.00%,100.00%,0.00%,68.27%
