TEST - Auction Insights Keywords - Mandarin
1 de agosto de 2026 - 31 de agosto de 2026
Dominio de URL visible,Palabra clave de la Búsqueda,ID de palabra clave,Buscar tipo de concordancia de palabras clave,Porcentaje de impr. de búsqueda (estadísticas de subasta),Porcentaje de ranking superior de búsqueda,Porcentaje de superposición de búsqueda,Porcentaje de posición superior,Porcentaje de parte superior de la página,Porcentaje absol. en parte superior de la página
xingdifeng.com,tabiques para baños,531728189752,Concordancia de frase,< 10%,57.07%,9.66%,26.47%,78.65%,2.25%
corasa.ar,boxes sanitarios,1185482633923,Concordancia exacta,11.11%,57.78%,18.52%,20.00%,100.00%,0.00%
tabiquesymodulos.com.ar,boxes sanitarios,1185482633923,Concordancia exacta,31.11%,60.00%,44.44%,0.00%,35.71%,0.00%
hoff.design,boxes sanitarios,1185482633923,Concordancia exacta,53.33%,53.33%,62.96%,17.65%,75.00%,4.17%
mercadolibre.com.ar,tabiques para baños,531728189752,Concordancia de frase,20.97%,55.91%,22.16%,20.51%,71.43%,9.92%
tabiquesymodulos.com.ar,tabiques para baños,531728189752,Concordancia de frase,36.02%,54.33%,36.08%,20.08%,51.96%,2.08%
mavatec.com.ar,tabiques para baños,531728189752,Concordancia de frase,37.94%,48.92%,45.17%,36.48%,69.52%,21.71%
Usted,boxes sanitarios,1185482633923,Concordancia exacta,60.00%, --, --, --,92.59%,37.04%
cabinasyboxs.com,boxes sanitarios,1185482633923,Concordancia exacta,11.11%,48.89%,18.52%,100.00%,100.00%,100.00%
mercadolibre.com.ar,boxes sanitarios,1185482633923,Concordancia exacta,15.56%,60.00%,18.52%,0.00%,100.00%,0.00%
Usted,tabiques para baños,531728189752,Concordancia de frase,58.57%, --, --, --,68.61%,40.34%
hoff.design,tabiques para baños,531728189752,Concordancia de frase,66.89%,41.68%,67.76%,42.56%,68.91%,25.12%
mavatec.com.ar,boxes sanitarios,1185482633923,Concordancia exacta,73.33%,40.00%,77.78%,42.86%,66.67%,30.30%
mavatec.com.ar,boxes sanitarios,378326172903,Concordancia de frase,44.13%,55.40%,47.79%,27.69%,73.40%,14.89%
ineleconline.com,boxes sanitarios,378326172903,Concordancia de frase,< 10%,62.44%,8.82%,25.00%,80.00%,13.33%
mercadolibre.com.ar,boxes sanitarios,378326172903,Concordancia de frase,12.68%,63.38%,13.97%,5.26%,74.07%,7.41%
xingdifeng.com,boxes sanitarios,378326172903,Concordancia de frase,< 10%,63.85%,7.35%,0.00%,50.00%,0.00%
Usted,boxes sanitarios,378326172903,Concordancia de frase,63.85%, --, --, --,73.53%,52.21%
cabinasyboxs.com,boxes sanitarios,378326172903,Concordancia de frase,< 10%,61.97%,11.76%,25.00%,88.24%,23.53%
hoff.design,boxes sanitarios,378326172903,Concordancia de frase,48.83%,54.93%,55.15%,25.33%,75.00%,15.38%
tabiquesymodulos.com.ar,boxes sanitarios,378326172903,Concordancia de frase,32.39%,61.03%,33.82%,13.04%,47.83%,4.35%
cristalcenter.com.ar,tabiques modulares,345272651035,Concordancia de frase,10.00%,70.00%,14.29%,0.00%,100.00%,0.00%
tabiquesymodulos.com.ar,divisiones sanitarias,317307324929,Concordancia de frase,28.57%,60.71%,26.47%,0.00%,31.25%,0.00%
corasa.ar,divisiones sanitarias,317307324929,Concordancia de frase,< 10%,60.71%,8.82%,0.00%,0.00%,0.00%
xingdifeng.com,divisiones sanitarias,317307324929,Concordancia de frase,10.71%,60.71%,14.71%,0.00%,83.33%,16.67%
teleboothpod.com,tabiques modulares,345272651035,Concordancia de frase,10.00%,70.00%,14.29%,0.00%,100.00%,0.00%
mercadolibre.com.ar,tabiques modulares,345272651035,Concordancia de frase,10.00%,70.00%,14.29%,0.00%,100.00%,0.00%
mercadolibre.com.ar,paneles sanitarios,353656453099,Concordancia exacta,21.88%,68.75%,23.40%,27.27%,85.71%,21.43%
tabiquesymodulos.com.ar,tabiques modulares,345272651035,Concordancia de frase,10.00%,70.00%,0.00%, --,100.00%,0.00%
Usted,tabiques modulares,345272651035,Concordancia de frase,70.00%, --, --, --,100.00%,28.57%
mavatec.com.ar,tabiques modulares,345272651035,Concordancia de frase,50.00%,60.00%,71.43%,20.00%,60.00%,20.00%
mercadolibre.com.ar,divisiones sanitarias,317307324929,Concordancia de frase,19.64%,60.71%,20.59%,0.00%,72.73%,0.00%
hoff.design,divisiones sanitarias,317307324929,Concordancia de frase,80.36%,50.00%,82.35%,21.43%,60.00%,15.56%
odoo.com,tabiques modulares,345272651035,Concordancia de frase,20.00%,60.00%,28.57%,50.00%,100.00%,50.00%
hoff.design,paneles sanitarios,353656453099,Concordancia exacta,17.19%,71.88%,14.89%,14.29%,63.64%,0.00%
bestdeco.com.ar,paneles sanitarios,353656453099,Concordancia exacta,< 10%,70.31%,8.51%,50.00%,60.00%,40.00%
mavatec.com.ar,divisiones sanitarias,317307324929,Concordancia de frase,44.64%,48.21%,52.94%,38.89%,84.00%,28.00%
Usted,divisiones sanitarias,317307324929,Concordancia de frase,60.71%, --, --, --,82.35%,50.00%
ineleconline.com,divisiones sanitarias,317307324929,Concordancia de frase,< 10%,58.93%,5.88%,50.00%,100.00%,33.33%
tabiquesymodulos.com.ar,paneles sanitarios,353656453099,Concordancia exacta,12.50%,73.44%,12.77%,0.00%,25.00%,0.00%
bestdeco.com.ar,tabiques modulares,345272651035,Concordancia de frase,10.00%,70.00%,14.29%,0.00%,0.00%,0.00%
supernova-equipamientos.com,tabiques modulares,345272651035,Concordancia de frase,10.00%,70.00%,14.29%,0.00%,100.00%,0.00%
mavatec.com.ar,paneles sanitarios,353656453099,Concordancia exacta,31.25%,65.63%,31.91%,33.33%,70.00%,15.00%
fleximuros.com,tabiques modulares,345272651035,Concordancia de frase,10.00%,60.00%,14.29%,100.00%,100.00%,0.00%
Usted,paneles sanitarios,353656453099,Concordancia exacta,73.44%, --, --, --,57.45%,46.81%
plusmetal.com.ar,tabiques modulares,345272651035,Concordancia de frase,20.00%,60.00%,28.57%,50.00%,100.00%,50.00%
intraoffice.com.ar,tabiques modulares,345272651035,Concordancia de frase,30.00%,60.00%,42.86%,33.33%,100.00%,33.33%
decibelsudamericana.com,tabiques modulares,345272651035,Concordancia de frase,10.00%,70.00%,0.00%, --,100.00%,100.00%
polyfanplacas.com,tabiques modulares,345272651035,Concordancia de frase,10.00%,70.00%,0.00%, --,0.00%,0.00%
berowood.com,tabiques modulares,345272651035,Concordancia de frase,10.00%,70.00%,14.29%,0.00%,100.00%,0.00%
cabinasyboxs.com,tabiques modulares,345272651035,Concordancia de frase,10.00%,60.00%,14.29%,100.00%,100.00%,100.00%
hoff.design,tabiques modulares,345272651035,Concordancia de frase,50.00%,60.00%,57.14%,25.00%,80.00%,0.00%
heling.com.ar,paneles sanitarios,356713619029,Concordancia de frase,< 10%,67.26%,10.53%,5.00%,25.93%,0.00%
plastileo.com.ar,paneles sanitarios,356713619029,Concordancia de frase,< 10%,64.41%,9.47%,50.00%,82.14%,42.86%
cabinasyboxs.com,tabiques sanitarios,305986106769,Concordancia exacta,< 10%,67.63%,10.60%,68.75%,85.00%,50.00%
lifecycle.com.ar,paneles sanitarios,356713619029,Concordancia de frase,< 10%,67.26%,6.84%,7.69%,70.00%,0.00%
mercadolibre.com.ar,tabiques sanitarios,317307330609,Concordancia de frase,18.16%,60.04%,21.05%,13.24%,74.74%,4.21%
