TEST - Auction Insights Keywords - Mandarin
1 de julio de 2026 - 31 de julio de 2026
Dominio de URL visible,Palabra clave de la Búsqueda,ID de palabra clave,Buscar tipo de concordancia de palabras clave,Porcentaje de impr. de búsqueda (estadísticas de subasta),Porcentaje de ranking superior de búsqueda,Porcentaje de superposición de búsqueda,Porcentaje de posición superior,Porcentaje de parte superior de la página,Porcentaje absol. en parte superior de la página
easyboxdivisores.com,boxes sanitarios,1185482633923,Concordancia exacta,18.18%,54.55%,20.00%,50.00%,100.00%,16.67%
tabiquesymodulos.com.ar,tabiques para baños,531728189752,Concordancia de frase,40.74%,52.76%,40.49%,12.50%,44.05%,3.33%
cabinasyboxs.com,boxes sanitarios,1185482633923,Concordancia exacta,< 10%,57.58%,10.00%,50.00%,100.00%,66.67%
Usted,boxes sanitarios,1185482633923,Concordancia exacta,60.61%, --, --, --,100.00%,50.00%
mavatec.com.ar,tabiques para baños,531728189752,Concordancia de frase,31.23%,49.56%,37.87%,28.57%,78.88%,19.88%
mavatec.com.ar,boxes sanitarios,1185482633923,Concordancia exacta,48.48%,45.45%,60.00%,41.67%,87.50%,50.00%
Usted,tabiques para baños,531728189752,Concordancia de frase,55.58%, --, --, --,77.84%,47.82%
mercadolibre.com.ar,boxes sanitarios,1185482633923,Concordancia exacta,< 10%,60.61%,10.00%,0.00%,100.00%,0.00%
hoff.design,tabiques para baños,531728189752,Concordancia de frase,69.06%,40.93%,70.68%,37.28%,74.30%,30.20%
hoff.design,boxes sanitarios,1185482633923,Concordancia exacta,78.79%,48.48%,85.00%,23.53%,88.46%,19.23%
tabiquesymodulos.com.ar,boxes sanitarios,1185482633923,Concordancia exacta,39.39%,60.61%,55.00%,0.00%,46.15%,0.00%
mercadolibre.com.ar,tabiques para baños,531728189752,Concordancia de frase,19.30%,54.12%,20.94%,12.50%,66.83%,8.54%
corasa.ar,boxes sanitarios,1185482633923,Concordancia exacta,12.12%,60.61%,20.00%,0.00%,25.00%,0.00%
easyboxdivisores.com,tabiques para baños,531728189752,Concordancia de frase,< 10%,54.51%,10.65%,18.03%,76.29%,21.65%
tcomsa.com.ar,boxes sanitarios,378326172903,Concordancia de frase,< 10%,64.61%,8.70%,0.00%,40.00%,0.00%
tabiquesymodulos.com.ar,boxes sanitarios,378326172903,Concordancia de frase,33.15%,64.04%,33.91%,2.56%,37.29%,1.69%
made-in-china.com,boxes sanitarios,378326172903,Concordancia de frase,< 10%,64.61%,6.09%,0.00%,88.89%,0.00%
hoff.design,boxes sanitarios,378326172903,Concordancia de frase,67.98%,54.49%,66.09%,23.68%,63.64%,14.05%
cabinasyboxs.com,boxes sanitarios,378326172903,Concordancia de frase,< 10%,62.36%,8.70%,40.00%,76.47%,17.65%
Usted,boxes sanitarios,378326172903,Concordancia de frase,64.61%, --, --, --,69.57%,50.43%
corasa.ar,boxes sanitarios,378326172903,Concordancia de frase,< 10%,64.61%,6.09%,0.00%,50.00%,0.00%
mercadolibre.com.ar,boxes sanitarios,378326172903,Concordancia de frase,16.29%,64.61%,20.87%,0.00%,82.76%,0.00%
mavatec.com.ar,boxes sanitarios,378326172903,Concordancia de frase,29.21%,61.24%,32.17%,16.22%,88.46%,9.62%
made-in-china.com,paneles sanitarios,356713619029,Concordancia de frase,13.04%,60.43%,16.44%,29.17%,70.00%,16.67%
easyboxdivisores.com,tabiques sanitarios,305986106769,Concordancia exacta,22.92%,62.08%,19.75%,25.81%,67.27%,32.73%
mavatec.com.ar,tabiques sanitarios,317307330609,Concordancia de frase,35.49%,61.11%,35.78%,25.64%,78.26%,16.52%
mavatec.com.ar,tabiques sanitarios,305986106769,Concordancia exacta,71.25%,45.42%,75.80%,40.34%,91.23%,33.33%
hoff.design,tabiques sanitarios,305986106769,Concordancia exacta,73.75%,57.50%,73.25%,16.52%,75.71%,8.47%
hoff.design,paneles sanitarios,356713619029,Concordancia de frase,18.70%,58.70%,21.23%,35.48%,51.16%,9.30%
Usted,paneles sanitarios,356713619029,Concordancia de frase,63.48%, --, --, --,77.40%,50.68%
Usted,tabiques sanitarios,317307330609,Concordancia de frase,67.28%, --, --, --,72.48%,48.62%
mavatec.com.ar,paneles sanitarios,356713619029,Concordancia de frase,10.00%,62.61%,10.27%,13.33%,65.22%,13.04%
tabiquesymodulos.com.ar,tabiques sanitarios,305986106769,Concordancia exacta,45.42%,61.25%,46.50%,13.70%,41.28%,0.00%
mercadolibre.com.ar,paneles sanitarios,356713619029,Concordancia de frase,30.87%,59.13%,34.25%,20.00%,83.10%,21.13%
xingdifeng.com,tabiques sanitarios,305986106769,Concordancia exacta,17.50%,62.92%,17.83%,21.43%,83.33%,4.76%
